Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (lin64) Build 3064766 Wed Nov 18 09:12:47 MST 2020
| Date         : Wed Aug 20 19:19:34 2025
| Host         : u20-VirtualBox running 64-bit Ubuntu 20.04 LTS
| Command      : report_high_fanout_nets -file /home/u20/chipyard/fpga/generated-src/chipyard.fpga.arty.Arty35THarness.ServArtyConfig/obj/report/fanout.txt -timing -load_types -max_nets 25
| Design       : Arty35THarness
| Device       : xc7a35ti
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Fanout Summary
-----------------

+-------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-----------------------------+-----------------------------+-----------------------------+-----------------------------+
|                                                                                                                                                 |        |             |                 |                 |         Clock Enable        |          Set/Reset          |         Data & Other        |            Clock            |
+-------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| Net Name                                                                                                                                        | Fanout | Driver Type | Worst Slack(ns) | Worst Delay(ns) | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER |
+-------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| ip_mmcm/inst/clk_out3                                                                                                                           |   4236 | BUFG        |             inf |           2.008 |     0 |  0 |              0 |     0 |  0 |              0 |     1 |  0 |              0 |  4231 |  0 |              4 |
| chiptop0/system/chipyard_prcictrl_domain/resetSynchronizer/nodeOut_member_allClocks_uncore_reset_catcher/io_sync_reset_chain/output_chain/SR[0] |    813 | LUT1        |          18.717 |           8.561 |     0 |  0 |              0 |   812 |  0 |              0 |     1 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/tlDM/dmInner/dmiXing/nodeOut_a_sink/io_deq_bits_deq_bits_reg/Q[32]                                                              |    300 | FDRE        |          13.824 |           6.616 |     0 |  0 |              0 |     0 |  0 |              0 |   300 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/tlDM/dmInner/dmiXing/nodeOut_a_sink/io_deq_bits_deq_bits_reg/Q[33]                                                              |    297 | FDRE        |          14.935 |           7.075 |     0 |  0 |              0 |     0 |  0 |              0 |   297 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/sbus/coupler_from_bus_named_fbus/widget/repeated_repeater/full_reg_0                                                            |    179 | FDRE        |          17.539 |           1.975 |     0 |  0 |              0 |     0 |  0 |              0 |   179 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/fbus_buffer/nodeOut_a_q/wrap_reg_0                                                                                              |    170 | FDRE        |          17.456 |           1.930 |     0 |  0 |              0 |     0 |  0 |              0 |   170 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/cbus/atomics/state_0_reg_0                                                                                                      |    167 | LUT6        |          16.128 |           2.352 |   160 |  0 |              0 |     0 |  0 |              0 |     7 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/cbus/buffer/nodeOut_a_q/wrap                                                                                                    |    167 | FDRE        |          12.791 |           3.421 |     0 |  0 |              0 |     0 |  0 |              0 |   167 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/fbus_buffer/nodeOut_a_q/do_enq                                                                                                         |    162 | LUT5        |          20.172 |           2.532 |   160 |  0 |              0 |     0 |  0 |              0 |     2 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/cbus/in_xbar/readys_mask_reg[0]_0                                                                                               |    159 | LUT6        |          15.732 |           1.696 |     0 |  0 |              0 |     0 |  0 |              0 |   159 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/pbus/buffer/nodeOut_a_q/ADDRD[0]                                                                                                |    150 | FDRE        |          20.834 |           1.251 |     0 |  0 |              0 |     0 |  0 |              0 |   150 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/pbus/atomics/do_enq                                                                                                             |    149 | LUT6        |          21.635 |           3.240 |   144 |  0 |              0 |     0 |  0 |              0 |     5 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/tlDM/dmInner/dmiXing/nodeOut_a_sink/io_deq_bits_deq_bits_reg/Q[34]                                                              |    149 | FDRE        |          14.814 |           4.004 |     0 |  0 |              0 |     0 |  0 |              0 |   149 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/pbus/buffer_1/nodeOut_a_q/wrap_reg_0                                                                                            |    148 | FDRE        |          22.610 |           3.420 |     0 |  0 |              0 |     0 |  0 |              0 |   148 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/sbus/system_bus_xbar/state_1_0_reg_0                                                                                            |    147 | LUT3        |          15.278 |           0.913 |     0 |  0 |              0 |     0 |  0 |              0 |   147 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/cbus/buffer/nodeOut_a_q/ram_ext/do_enq                                                                                          |    146 | LUT6        |          16.057 |           3.398 |   144 |  0 |              0 |     0 |  0 |              0 |     2 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/tlDM/dmInner/dmiXing/nodeOut_a_sink/io_deq_bits_deq_bits_reg/Q[35]                                                              |    144 | FDRE        |          14.317 |           4.530 |     0 |  0 |              0 |     0 |  0 |              0 |   144 |  0 |              0 |     0 |  0 |              0 |
